source,iteration,slot,role,minutes,utc,status,regime,time_basis
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000302-primary.json,302,0,Primary,2.5954983881985147,2026-09-10T18:34:51.775487+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000977-primary.json,977,0,Primary,1.7107089666669102,2026-09-10T18:36:44.345152+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000303-primary.json,303,0,Primary,2.1201095555501523,2026-09-10T18:37:14.663261+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000978-primary.json,978,0,Primary,0.5364589117991272,2026-09-10T18:37:32.377157+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000304-primary.json,304,0,Primary,0.7461549576333103,2026-09-10T18:38:15.666556+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000979-primary.json,979,0,Primary,0.9962675583335415,2026-09-10T18:38:49.067034+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000305-primary.json,305,0,Primary,1.2459928257002806,2026-09-10T18:39:46.177620+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000980-primary.json,980,0,Primary,1.396015579866556,2026-09-10T18:40:27.970395+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000306-primary.json,306,0,Primary,0.8840251569325726,2026-09-10T18:40:54.691299+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000307-primary.json,307,0,Primary,2.5058763562507615,2026-09-10T18:43:40.407465+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000981-primary.json,981,0,Primary,3.7744043347328744,2026-09-10T18:44:30.733177+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000308-primary.json,308,0,Primary,0.6315606423498442,2026-09-10T18:44:33.821667+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000309-primary.json,309,0,Primary,1.1817898875005388,2026-09-10T18:46:00.626129+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000982-primary.json,982,0,Primary,1.277283797917577,2026-09-10T18:46:02.624432+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000983-primary.json,983,0,Primary,1.2496029833331703,2026-09-10T18:47:33.052421+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000310-primary.json,310,0,Primary,1.305206300683009,2026-09-10T18:47:35.134059+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000984-primary.json,984,0,Primary,0.9220686625010178,2026-09-10T18:48:43.816804+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000311-primary.json,311,0,Primary,1.2742799916673297,2026-09-10T18:49:06.702606+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000985-primary.json,985,0,Primary,0.8684336993164228,2026-09-10T18:49:51.848410+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000312-primary.json,312,0,Primary,0.9230760048667435,2026-09-10T18:50:18.746318+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000986-primary.json,986,0,Primary,2.9815377652839135,2026-09-10T18:53:07.342658+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000313-primary.json,313,0,Primary,5.0,2026-09-10T18:55:35.017066+00:00,censored,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000987-primary.json,987,0,Primary,2.6020754118003726,2026-09-10T18:55:59.938966+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000313-recovery.json,313,1,Target-free,2.138787576399045,2026-09-10T18:57:53.145158+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000988-primary.json,988,0,Primary,1.6981036902832178,2026-09-10T18:57:57.319622+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000989-primary.json,989,0,Primary,5.0,2026-09-10T19:03:13.415503+00:00,censored,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000989-recovery.json,989,1,Target-free,1.6376881444496878,2026-09-10T19:05:01.223476+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000989-recovery.json,989,2,Copied target-free,5.460001972917235,2026-09-10T19:10:29.888511+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000990-primary.json,990,0,Primary,1.255391116667306,2026-09-10T19:12:01.441063+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000991-primary.json,991,0,Primary,1.637799907650333,2026-09-10T19:13:56.197256+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000992-primary.json,992,0,Primary,1.753457212500507,2026-09-10T19:15:57.908735+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000993-primary.json,993,0,Primary,2.053287874299955,2026-09-10T19:18:16.670954+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000994-primary.json,994,0,Primary,3.871019708334158,2026-09-10T19:22:25.948800+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000313-recovery.json,313,2,Copied target-free,24.590859315284373,2026-09-10T19:22:29.655229+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000995-primary.json,995,0,Primary,3.8606252236155947,2026-09-10T19:26:33.237934+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000314-primary.json,314,0,Primary,4.10986128403456,2026-09-10T19:26:51.736583+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000996-primary.json,996,0,Primary,1.415536711817064,2026-09-10T19:28:14.792664+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000315-primary.json,315,0,Primary,2.0190923354180996,2026-09-10T19:29:08.705984+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000997-primary.json,997,0,Primary,1.4336740277843394,2026-09-10T19:29:56.583894+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000998-primary.json,998,0,Primary,2.005392515967833,2026-09-10T19:32:13.305772+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000316-primary.json,316,0,Primary,3.1039638062492787,2026-09-10T19:32:30.837899+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000999-primary.json,999,0,Primary,1.6780861840331152,2026-09-10T19:34:09.851508+00:00,returned,sequential,phase_file_mtime_anchor_proxy
