iteration,historical_group,stratum,population_weight,historical_winner_order,new_winner_order,new_window_launched_utc,new_window_completed_utc,historical_solve_seconds,new_solve_seconds,winner_solve_speedup,historical_window_seconds,new_window_seconds,historical_build_seconds,new_build_seconds,initialization_preparation_seconds,historical_objective,new_objective,objective_relative_change,accepted,new_status,window_speedup,historical_variable_objects,historical_constraint_objects,new_variable_objects,new_constraint_objects,primary_auxiliary_values_match,historical_model_coordinates,new_model_coordinates,max_abs_delta_Pg,max_abs_delta_Qg,max_abs_delta_b,max_abs_delta_b_q,max_abs_delta_soc,max_abs_delta_p_nd,max_abs_delta_q_nd,max_abs_delta_Vm,max_abs_delta_Va_deg_raw,max_abs_delta_Va_deg_wrapped,residual_ac_active_balance_pu_abs,residual_ac_reactive_balance_pu_abs,residual_branch_loss_nonnegativity_pu_abs,residual_branch_mva_abs,residual_branch_normalized_squared_residual,residual_curtailment_nonnegativity_pu_abs,residual_soc_recurrence_mwh_abs,residual_terminal_soc_mwh_abs,residual_voltage_bound_pu_abs
4535,primary,0.3000–0.4001,46.90909090909091,0,0,2026-09-20T20:13:52.407508+00:00,2026-09-20T20:14:38.805374+00:00,32.449381416001415,40.499749541981146,0.8012242491120866,38.51549812500161,46.397866417013574,0.8510923339999863,1.2423102090251632,0.8269408330088481,261585.38632340662,261585.38620757486,-4.428066970807009e-10,True,optimal,0.8301135612321694,51,4057,17,1349,True,6876,6880,3.219622556116519e-05,1.0268004215256554,3.2139989165180793e-05,0.7189941094053349,2.847130675842635e-05,2.2862423065816984e-10,0.30780599701969,3.4816120509262305e-05,0.0005534776566307187,0.0005534776566378241,1.1368683772161603e-15,4.707345624410664e-16,0.0,0.0,0.0,1.0438073932436031e-18,2.1316282072803006e-14,0.0,0.0
3618,primary,0.0000–0.0999,46.81818181818182,0,0,2026-09-20T20:13:52.420187+00:00,2026-09-20T20:14:10.314900+00:00,18.39878541700091,12.359486833040137,1.488636677682778,25.13439091699911,17.89471320802113,0.8891409589996329,1.234578416973818,0.8217622080119327,270796.7148857618,270796.7147777915,-3.9871334254868156e-10,True,optimal,1.4045707592414984,51,4057,17,1349,True,6876,6880,2.8980337219763896e-05,0.5563552302888084,1.281634542582566e-05,1.7314363262108823,1.2816345417832053e-05,5.962345994703355e-08,1.4221481327901027,3.6181109552835267e-07,3.36258445798876e-06,3.362584465094187e-06,1.5173349323887686e-14,1.687538997430238e-16,0.0,1.785537051546271e-09,2.380709500155515e-11,6.4212403162794095e-15,1.437464479858621e-13,8.526512829121202e-14,0.0
7736,primary,0.0999–0.2000,46.90909090909091,0,0,2026-09-20T20:14:11.488212+00:00,2026-09-20T20:14:31.679913+00:00,25.76930812498904,14.222787041973788,1.8118325226229968,32.045585208019475,20.191700750030577,0.827946208009962,1.2515455420361832,0.8335560420528054,220573.69140695134,220573.6916688083,1.1871630738733432e-09,True,optimal,1.5870671621344699,51,4057,17,1349,True,6876,6880,0.010626908615506636,0.3227580520361424,0.010761981852831299,0.3672969904728264,0.010761981852837721,1.7641286831349134e-07,0.157075461289935,2.669037821867448e-07,5.913230891607668e-05,5.913230890541854e-05,3.126388037344441e-15,2.1955770534987095e-14,0.0,0.0,0.0,0.0,8.881784197001252e-14,3.552713678800501e-15,0.0
7666,primary,0.3000–0.4001,46.90909090909091,0,0,2026-09-20T20:14:32.821370+00:00,2026-09-20T20:14:57.821246+00:00,31.50873120801407,18.958874458039645,1.6619515719538176,37.92508962500142,24.99987645802321,0.8572255829931237,1.2573703329544514,0.8364173749578185,220391.05283423266,220391.05283596134,7.843695083841903e-12,True,optimal,1.51701108158197,51,4057,17,1349,True,6876,6880,3.2286033842865436e-05,0.003352637611168774,2.1240943183897798e-05,0.001797877916856233,2.1240943169686943e-05,1.2684893135883613e-09,0.00195915564245297,6.173049653668272e-07,8.61184187961328e-06,8.611841877836923e-06,1.0942358130705543e-14,3.7461145296902034e-14,0.0,5.804551506116695e-08,7.739402159738044e-10,0.0,1.8801127003181557e-12,9.379164112033322e-13,0.0
8191,primary,0.5999–0.7000,46.90909090909091,0,0,2026-09-20T20:14:39.946981+00:00,2026-09-20T20:15:12.105388+00:00,42.17912587500177,26.5400282079936,1.5892645457813728,49.083287125016795,32.15840758301783,0.8492508749768604,1.263938458985649,0.8345227919635363,255096.202761096,255096.20276085625,-9.398703418847478e-13,True,optimal,1.5262971898812747,51,4057,17,1349,True,6876,6880,0.00032402629290118057,0.0009085868090217275,0.00029534777633699605,0.0012427908778427366,0.00015733002854290135,5.684341886080802e-14,0.0009090587103344205,3.619975197377556e-07,3.400833346489662e-05,3.400833347200205e-05,1.1368683772161603e-15,9.992007221626409e-15,0.0,0.0,0.0,0.0,8.449968155743726e-14,6.3206414324668e-08,0.0
7547,primary,0.0000–0.0999,46.81818181818182,0,0,2026-09-20T20:14:58.964005+00:00,2026-09-20T20:15:13.351598+00:00,16.287829124979908,8.968762584030628,1.8160620233142615,22.91354587499518,14.387593582971022,0.8430129579792265,1.2616016250103712,0.8347338330349885,244657.06964163773,244657.06964158674,-2.0841380563776512e-13,True,optimal,1.592590570678572,51,4057,17,1349,True,6876,6880,9.037478321261005e-09,0.0030885171327810212,3.4089886469246267e-09,1.490593013693444e-05,3.4090135159203783e-09,2.2566837287740782e-11,0.0031033935781081823,6.728861912108641e-11,8.90569396005958e-10,8.905658432922792e-10,7.389644451905042e-15,1.4068746168049984e-14,0.0,0.0,0.0,0.0,2.251344879429908e-13,7.419932723795597e-14,0.0
5324,primary,0.5999–0.7000,46.90909090909091,0,0,2026-09-20T20:15:13.259074+00:00,2026-09-20T20:15:47.769286+00:00,43.70511358400108,28.828452832996845,1.516040900189292,50.02556391699909,34.51021237496752,0.8273373749980237,1.2327870409935713,0.8242052919813432,238349.4139076109,238349.41383971396,-2.8486303423121437e-10,True,optimal,1.4495872518387007,51,4057,17,1349,True,6876,6880,0.00022130499661443537,14.097568333589885,5.723649215715922e-12,14.459603383002776,5.7411853049416095e-12,3.557899021660389e-16,28.528627404031674,1.3792388518840681e-05,0.00021955415292040925,0.00021955415292040925,1.1368683772161603e-15,4.3520742565306136e-16,0.0,0.0,0.0,1.940303693929253e-18,5.5457197350100096e-14,4.659636768942273e-17,0.0
4652,primary,0.5999–0.7000,46.90909090909091,0,0,2026-09-20T20:15:14.483921+00:00,2026-09-20T20:16:00.893259+00:00,44.00435504200141,40.289403500035405,1.0922066652578448,50.128602542004955,46.40933795802994,0.8533032500054105,1.239507791993674,0.8211228749714792,234190.62754886312,234190.62152987154,-2.5701248786481774e-08,True,optimal,1.0801404361195266,51,4057,17,1349,True,6876,6880,0.0009093263740851398,0.40668504947284134,7.06957443592368e-05,8.001222470371811,7.069574436968651e-05,3.808046699305123e-06,7.953457322226406,2.3926553925468497e-05,0.0004052435580437219,0.000405243558049051,1.1368683772161603e-15,2.1316282072803005e-16,0.0,0.0,0.0,1.3798822396333458e-21,5.0581324081152115e-14,1.4210854715202004e-14,0.0
4275,primary,0.4001–0.5000,46.81818181818182,0,0,2026-09-20T20:15:48.911803+00:00,2026-09-20T20:16:29.466187+00:00,33.386034582999855,35.20565879199421,0.9483144394557349,40.115455791001295,40.55438366701128,0.8462815839993709,1.2657168330042623,0.8359717089915648,189030.3412652358,189030.35845749406,9.094972876660564e-08,True,optimal,0.9891768081198328,51,4057,17,1349,True,6876,6880,1.2850942199322901,32.66729813095329,1.3979800983196817,19.226890384899846,1.397980098319683,1.4935494618839584e-08,40.144048666233076,0.000984843525291712,0.059763976175418065,0.059763976175418065,1.1368683772161603e-15,1.5898393712632242e-15,0.0,0.0,0.0,1.2487215267564926e-17,9.371845273030595e-14,4.618527782440651e-14,0.0
4675,primary,0.0000–0.0999,46.81818181818182,0,0,2026-09-20T20:16:02.038468+00:00,2026-09-20T20:16:17.569911+00:00,17.787690540993935,10.08284879202256,1.764153257467013,23.834230375003244,15.531442500010598,0.8467252500049653,1.2491034590057097,0.833388333034236,283136.8215573893,283136.82155740634,6.023534683280001e-14,True,optimal,1.534579313865211,51,4057,17,1349,True,6876,6880,3.406273663131287e-08,0.008542469514184248,1.9714768484391243e-08,0.008542462678528762,1.0655071491783019e-08,2.7179019146100833e-11,0.008450521077747908,1.243012359708473e-10,2.8043078970085844e-09,2.8043132260791026e-09,8.242295734817162e-15,2.2382096176443156e-15,0.0,0.0,0.0,2.9600660063246225e-13,2.984279490192421e-13,0.0,0.0
6376,primary,0.7000–0.8000,46.81818181818182,0,0,2026-09-20T20:16:18.717931+00:00,2026-09-20T20:16:51.971298+00:00,52.063191875000484,27.185824333981145,1.9150860108340975,58.39162687500357,33.25336662499467,0.795701499999268,1.2445078330347314,0.829172583995387,275305.65763201076,275305.6601337703,9.087207227154242e-09,True,optimal,1.7559613597473736,51,4057,17,1349,True,6876,6880,0.0009613551540041954,120.1004537094912,2.6966684199436486e-05,12.137580621025052,2.6966684345097747e-05,2.2643563397650723e-06,132.23826421403862,0.00020334220000917114,0.0032222080569930256,0.0032222080569965783,1.1368683772161603e-15,4.227729277772596e-15,0.0,0.0,0.0,0.0,1.9622555838506254e-13,4.743384504624082e-19,0.0
