time,load_bus_5,load_bus_7,load_bus_9
2021-12-18T00:00:00-08:00,25.121323649351268,29.308210924243145,41.86887274891879
2021-12-18T01:00:00-08:00,31.698803454140531,36.981937363163951,52.831339090234216
2021-12-18T02:00:00-08:00,37.52106077860519,43.774570908372723,62.535101297675332
2021-12-18T03:00:00-08:00,39.301804431235368,45.852105169774596,65.50300738539228
2021-12-18T04:00:00-08:00,39.488401732974253,46.069802021803291,65.814002888290418
2021-12-18T05:00:00-08:00,38.086234842334513,44.433940649390266,63.477058070557533
2021-12-18T06:00:00-08:00,34.176851449600889,39.872993357867706,56.961419082668151
2021-12-18T07:00:00-08:00,32.17171947033497,37.5336727153908,53.619532450558296
2021-12-18T08:00:00-08:00,31.507769757425951,36.759064716996939,52.512949595709919
2021-12-18T09:00:00-08:00,30.87697709152647,36.023139940114213,51.461628485877455
2021-12-18T10:00:00-08:00,29.219746468611465,34.089704213380038,48.699577447685783
2021-12-18T11:00:00-08:00,27.958980447286045,32.618810521833716,46.598300745476749
2021-12-18T12:00:00-08:00,28.87598118121057,33.68864471141233,48.126635302017625
2021-12-18T13:00:00-08:00,29.271550073600785,34.150141752534246,48.785916789334642
2021-12-18T14:00:00-08:00,29.515251471238191,34.434460049777883,49.192085785396984
2021-12-18T15:00:00-08:00,28.585373600353339,33.349602533745561,47.642289333922236
2021-12-18T16:00:00-08:00,27.449511592440935,32.024430191181089,45.74918598740156
2021-12-18T17:00:00-08:00,26.379420984150336,30.775991148175393,43.965701640250565
2021-12-18T18:00:00-08:00,25.047079894478962,29.221593210225457,41.745133157464942
2021-12-18T19:00:00-08:00,25.167644987152691,29.362252485011471,41.946074978587824
2021-12-18T20:00:00-08:00,25.545818680003414,29.803455126670656,42.576364466672366
2021-12-18T21:00:00-08:00,26.238586519182682,30.611684272379797,43.730977531971142
2021-12-18T22:00:00-08:00,25.902284596963582,30.219332029790845,43.17047432827264
2021-12-18T23:00:00-08:00,26.078612856175599,30.425048332204863,43.464354760292672
2021-12-19T00:00:00-08:00,27.389222460007012,31.954092870008182,45.648704100011692
2021-12-19T01:00:00-08:00,30.852687565590674,35.99480215985578,51.42114594265113
2021-12-19T02:00:00-08:00,31.628374366681999,36.899770094462333,52.713957277803345
2021-12-19T03:00:00-08:00,35.693234435354128,41.642106841246481,59.488724058923552
2021-12-19T04:00:00-08:00,37.892276918527884,44.207656404949198,63.153794864213154
2021-12-19T05:00:00-08:00,35.342680199109793,41.233126898961423,58.90446699851632
2021-12-19T06:00:00-08:00,34.52584082918515,40.280147634049342,57.543068048641921
2021-12-19T07:00:00-08:00,30.747486520124927,35.872067606812408,51.245810866874876
2021-12-19T08:00:00-08:00,28.831074537056384,33.636253626565775,48.051790895093973
2021-12-19T09:00:00-08:00,28.478944906396695,33.225435724129476,47.464908177327828
2021-12-19T10:00:00-08:00,29.428657467169899,34.333433711698213,49.047762445283169
2021-12-19T11:00:00-08:00,29.879441562823491,34.859348489960738,49.799069271372488
2021-12-19T12:00:00-08:00,30.12439695334001,35.145129778896674,50.207328255566686
2021-12-19T13:00:00-08:00,28.909314735621159,33.727533858224689,48.182191226035272
2021-12-19T14:00:00-08:00,27.380752739195344,31.944211529061231,45.634587898658907
2021-12-19T15:00:00-08:00,26.948796977800228,31.44026314076693,44.914661629667052
2021-12-19T16:00:00-08:00,25.254449746326717,29.463524704047838,42.090749577211199
2021-12-19T17:00:00-08:00,25.058447497994472,29.23485541432688,41.764079163324126
2021-12-19T18:00:00-08:00,24.837267917843523,28.97681257081744,41.39544652973921
2021-12-19T19:00:00-08:00,25.151227164416046,29.343098358485381,41.918711940693413
2021-12-19T20:00:00-08:00,25.011662498960433,29.180272915453834,41.686104164934058
2021-12-19T21:00:00-08:00,25.829360695940935,30.134254145264421,43.048934493234896
2021-12-19T22:00:00-08:00,26.822370258748283,31.292765301872997,44.703950431247144
2021-12-19T23:00:00-08:00,27.658156512678374,32.267849264791437,46.096927521130624
2021-12-20T00:00:00-08:00,27.408266818248862,31.976311287957007,45.680444697081441
2021-12-20T01:00:00-08:00,33.716032776475558,39.33537157255482,56.193387960792599
2021-12-20T02:00:00-08:00,38.274025544859619,44.653029802336221,63.790042574766041
2021-12-20T03:00:00-08:00,38.48312885745203,44.896983667027364,64.138548095753379
2021-12-20T04:00:00-08:00,38.80859269835878,45.276691481418574,64.680987830597971
2021-12-20T05:00:00-08:00,37.890095603183539,44.205111537047465,63.150159338639241
2021-12-20T06:00:00-08:00,36.222643357640465,42.259750583913878,60.37107226273411
2021-12-20T07:00:00-08:00,36.526654963222356,42.614430790426084,60.877758272037276
2021-12-20T08:00:00-08:00,36.490768637593568,42.572563410525824,60.817947729322611
2021-12-20T09:00:00-08:00,34.133333154705724,39.822222013823342,56.888888591176205
2021-12-20T10:00:00-08:00,31.881351623410509,37.194910227312263,53.135586039017518
2021-12-20T11:00:00-08:00,31.88637286380461,37.20076834110538,53.143954773007692
2021-12-20T12:00:00-08:00,33.459938978621018,39.036595475057858,55.766564964368371
2021-12-20T13:00:00-08:00,32.890302175527779,38.372019204782411,54.817170292546308
2021-12-20T14:00:00-08:00,32.025705698643911,37.363323315084564,53.37617616440653
2021-12-20T15:00:00-08:00,31.801736247780816,37.102025622410949,53.002893746301368
2021-12-20T16:00:00-08:00,31.730103221780784,37.018453758744243,52.883505369634648
2021-12-20T17:00:00-08:00,30.743637605006462,35.867577205840874,51.239396008344116
2021-12-20T18:00:00-08:00,28.817665243454087,33.620609450696435,48.029442072423478
2021-12-20T19:00:00-08:00,26.613100976510111,31.048617805928462,44.355168294183528
2021-12-20T20:00:00-08:00,25.026947513003755,29.198105431837718,41.711579188339606
2021-12-20T21:00:00-08:00,24.185254847235491,28.216130655108074,40.308758078725823
2021-12-20T22:00:00-08:00,24.608427389599161,28.709831954532351,41.014045649331941
2021-12-20T23:00:00-08:00,25.47038942766136,29.715454332271587,42.450649046102271
2021-12-21T00:00:00-08:00,24.279525606030134,28.326113207035153,40.465876010050223
2021-12-21T01:00:00-08:00,30.951097027774157,36.109613199069848,51.585161712956932
2021-12-21T02:00:00-08:00,35.820970470500441,41.79113221558385,59.701617450834071
2021-12-21T03:00:00-08:00,37.428262671111867,43.666306449630511,62.380437785186452
2021-12-21T04:00:00-08:00,38.043419942604736,44.383989933038862,63.40569990434124
2021-12-21T05:00:00-08:00,37.513123214435495,43.765310416841409,62.521872024059171
2021-12-21T06:00:00-08:00,36.47676132637875,42.556221547441872,60.794602210631254
2021-12-21T07:00:00-08:00,35.57158395388587,41.500181279533521,59.285973256476467
2021-12-21T08:00:00-08:00,33.329824045218729,38.884794719421855,55.549706742031233
2021-12-21T09:00:00-08:00,30.912497230159047,36.064580101852222,51.520828716931753
2021-12-21T10:00:00-08:00,28.701533911317231,33.485122896536765,47.835889852195393
2021-12-21T11:00:00-08:00,26.762679143926881,31.223125667914701,44.604465239878145
2021-12-21T12:00:00-08:00,26.599823404848895,31.033127305657043,44.333039008081499
2021-12-21T13:00:00-08:00,27.251820668823989,31.793790780294657,45.419701114706655
2021-12-21T14:00:00-08:00,27.797347087821301,32.43023826912485,46.328911813035511
2021-12-21T15:00:00-08:00,27.280907507854053,31.82772542582973,45.46817917975676
2021-12-21T16:00:00-08:00,25.623097308398286,29.893613526464666,42.705162180663812
2021-12-21T17:00:00-08:00,23.421209631297121,27.32474456984664,39.035349385495209
2021-12-21T18:00:00-08:00,22.280326382990612,25.993714113489045,37.13387730498436
2021-12-21T19:00:00-08:00,21.09790066890519,24.614217447056056,35.163167781508655
2021-12-21T20:00:00-08:00,20.659859353832012,24.103169246137348,34.433098923053358
2021-12-21T21:00:00-08:00,22.07631280620167,25.755698273901949,36.793854677002784
2021-12-21T22:00:00-08:00,23.386856549062546,27.284665973906304,38.978094248437579
2021-12-21T23:00:00-08:00,25.27452153570902,29.48694179166052,42.124202559515034
