time,utility_solar_bus_1,utility_solar_bus_2,wind_bus_2,wind_bus_3,dist_solar_bus_5,dist_solar_bus_7,dist_solar_bus_9
2021-12-18T00:00:00-08:00,0,0,3.5085983114765096,14.034393245906038,0,0,0
2021-12-18T01:00:00-08:00,0,0,4.664853510307462,18.659414041229848,0,0,0
2021-12-18T02:00:00-08:00,0,0,3.9085851577706623,15.634340631082649,0,0,0
2021-12-18T03:00:00-08:00,0,0,0,0,0,0,0
2021-12-18T04:00:00-08:00,0,0,0,0,0,0,0
2021-12-18T05:00:00-08:00,0,0,0,0,0,0,0
2021-12-18T06:00:00-08:00,0,0,1.2652419328834403,5.0609677315337613,0,0,0
2021-12-18T07:00:00-08:00,0,0,0,0,0,0,0
2021-12-18T08:00:00-08:00,30.629982622130367,122.51993048852147,0,0,2.158577858179564,2.3984198424217378,2.9980248030271723
2021-12-18T09:00:00-08:00,24.135064679685811,96.540258718743246,0,0,2.8049325468975912,3.1165917187751013,3.8957396484688767
2021-12-18T10:00:00-08:00,32.394795136790798,129.57918054716319,0,0,2.5211495704136802,2.8012773004596445,3.5015966255745554
2021-12-18T11:00:00-08:00,42.161332875074685,168.64533150029874,0,0,3.6775422070765429,4.0861580078628252,5.1076975098285322
2021-12-18T12:00:00-08:00,39.401013807840428,157.60405523136171,0,0,2.837133142037386,3.152370157819318,3.9404626972741474
2021-12-18T13:00:00-08:00,39.494217511748701,157.9768700469948,1.0566734113718279,4.2266936454873116,2.5204441460266911,2.8004934955852123,3.5006168694815152
2021-12-18T14:00:00-08:00,21.236090031546908,84.944360126187632,2.703092297362697,10.812369189450788,1.2771024110502445,1.4190026789447161,1.7737533486808952
2021-12-18T15:00:00-08:00,11.340779589627935,45.363118358511741,13.875615618123987,55.502462472495949,0.7265418778537307,0.80726875317081193,1.0090859414635149
2021-12-18T16:00:00-08:00,10.975244222947541,43.900976891790165,12.376909716864155,49.50763886745662,0.33570789045194666,0.37300876716882958,0.46626095896103703
2021-12-18T17:00:00-08:00,0,0,17.117002799918509,68.468011199674038,0,0,0
2021-12-18T18:00:00-08:00,0,0,4.117153679282274,16.468614717129096,0,0,0
2021-12-18T19:00:00-08:00,0,0,0,0,0,0,0
2021-12-18T20:00:00-08:00,0,0,0,0,0,0,0
2021-12-18T21:00:00-08:00,0,0,0,0,0,0,0
2021-12-18T22:00:00-08:00,0,0,0,0,0,0,0
2021-12-18T23:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T00:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T01:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T02:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T03:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T04:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T05:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T06:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T07:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T08:00:00-08:00,65.258435963149864,261.03374385259946,0,0,2.4933641220108558,2.7704045800120616,3.4630057250150772
2021-12-19T09:00:00-08:00,112.01041850746347,448.04167402985388,0,0,4.0238385089900524,4.4709316766556135,5.5886645958195178
2021-12-19T10:00:00-08:00,51.209625589575104,204.83850235830042,0,0,1.5041681377751541,1.6712979308612825,2.0891224135766029
2021-12-19T11:00:00-08:00,29.441848924324354,117.76739569729742,0,0,1.6730162709628653,1.8589069677365169,2.3236337096706463
2021-12-19T12:00:00-08:00,21.84663146868116,87.38652587472464,0,0,0.72395015542870589,0.80438906158745094,1.0054863269843137
2021-12-19T13:00:00-08:00,20.915394374235877,83.661577496943508,0,0,0.86053705566552507,0.95615228407280572,1.195190355091007
2021-12-19T14:00:00-08:00,11.572939818668127,46.291759274672508,0,0,0.76540365011224287,0.85044850012471429,1.0630606251558929
2021-12-19T15:00:00-08:00,31.609581589951542,126.43832635980617,0,0,0.43890836059378291,0.48767595621531434,0.60959494526914293
2021-12-19T16:00:00-08:00,53.946575117131687,215.78630046852675,0,0,0.35774289115832103,0.39749210128702334,0.49686512660877918
2021-12-19T17:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T18:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T19:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T20:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T21:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T22:00:00-08:00,0,0,0,0,0,0,0
2021-12-19T23:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T00:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T01:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T02:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T03:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T04:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T05:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T06:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T07:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T08:00:00-08:00,44.657891729900442,178.63156691960177,0,0,0.30740631424811077,0.34156257138678975,0.4269532142334872
2021-12-20T09:00:00-08:00,35.42225786968698,141.68903147874792,4.9182338361756814,19.672935344702726,1.6326218832180159,1.8140243146866846,2.2675303933583555
2021-12-20T10:00:00-08:00,28.408252077315332,113.63300830926133,1.3000955584941338,5.2003822339765353,4.545654441534734,5.0507271572608161,6.3134089465760201
2021-12-20T11:00:00-08:00,59.385980168039538,237.54392067215815,7.9422007820177818,31.768803128071127,4.2451383435306456,4.7168203817007175,5.8960254771258969
2021-12-20T12:00:00-08:00,38.851212560224781,155.40485024089912,19.592716682582875,78.3708667303315,3.7780256264458969,4.1978062516065524,5.2472578145081901
2021-12-20T13:00:00-08:00,34.677199386797007,138.70879754718803,6.8772288883576937,27.508915553430775,2.4638555222149274,2.7376172469054745,3.4220215586318434
2021-12-20T14:00:00-08:00,40.367161861562266,161.46864744624907,9.5305302919908268,38.122121167963307,3.1696583315715152,3.5218425906350168,4.4023032382937712
2021-12-20T15:00:00-08:00,17.682853666768374,70.731414667073494,11.539316237902403,46.157264951609612,1.3006284318705623,1.4451427020784025,1.8064283775980032
2021-12-20T16:00:00-08:00,7.1653251318781415,28.661300527512566,13.774374134207211,55.097496536828842,0.45151186710172764,0.50167985233525292,0.62709981541906623
2021-12-20T17:00:00-08:00,0,0,10.736576384551343,42.946305538205372,0,0,0
2021-12-20T18:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T19:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T20:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T21:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T22:00:00-08:00,0,0,0,0,0,0,0
2021-12-20T23:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T00:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T01:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T02:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T03:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T04:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T05:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T06:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T07:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T08:00:00-08:00,7.7085451454449574,30.83418058177983,0,0,0.19436576100488265,0.21596195667209184,0.2699524458401148
2021-12-21T09:00:00-08:00,16.697060399439632,66.788241597758528,0,0,1.924063750631414,2.1378486118126823,2.6723107647658528
2021-12-21T10:00:00-08:00,49.748887493110111,198.99554997244044,0,0,2.2875185034800674,2.541687226088964,3.177109032611205
2021-12-21T11:00:00-08:00,44.725391931160445,178.90156772464178,0,0,1.9002652364181423,2.1114058182423805,2.6392572728029755
2021-12-21T12:00:00-08:00,58.316566537121417,233.26626614848567,0,0,1.4479144514844258,1.6087938349826951,2.0109922937283691
2021-12-21T13:00:00-08:00,60.639072200505922,242.55628880202369,0,0,2.7355033551762666,3.0394481724180737,3.7993102155225924
2021-12-21T14:00:00-08:00,53.329278753190401,213.3171150127616,0,0,2.5860853471546168,2.87342816350513,3.5917852043814125
2021-12-21T15:00:00-08:00,29.359603859117069,117.43841543646828,1.8688182113162488,7.4752728452649952,1.2954916744470772,1.439435193830086,1.7992939922876074
2021-12-21T16:00:00-08:00,8.4246811126620234,33.698724450648093,0.62515233238228562,2.5006093295291425,0.31610299238320971,0.35122554709245524,0.43903193386556905
2021-12-21T17:00:00-08:00,0,0,6.0346563200229841,24.138625280091937,0,0,0
2021-12-21T18:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T19:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T20:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T21:00:00-08:00,0,0,0,0,0,0,0
2021-12-21T22:00:00-08:00,0,0,1.9374189982325349,7.7496759929301398,0,0,0
2021-12-21T23:00:00-08:00,0,0,7.7895087079137895,31.158034831655158,0,0,0
